layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,m,within_B_clinical,0.7953125,0.055445170547085434,0.46842105263157896,0.06315789473684211
1,0.0476,gemma9b_base,m,within_B_clinical,0.8139910130718955,0.07250760465350856,0.45736842105263154,0.07671221899369285
2,0.0714,gemma9b_base,m,within_B_clinical,0.8915747549019608,0.04066238981926801,0.6026315789473684,0.15710327954315054
3,0.0952,gemma9b_base,m,within_B_clinical,0.8759089052287582,0.061631622079775995,0.51,0.12392920863728052
4,0.119,gemma9b_base,m,within_B_clinical,0.893780637254902,0.05727696872910178,0.6042105263157894,0.11770661682942622
5,0.1429,gemma9b_base,m,within_B_clinical,0.8899611928104575,0.0481921628264291,0.5,0.07806524723258594
6,0.1667,gemma9b_base,m,within_B_clinical,0.9263480392156863,0.043062773405614686,0.6147368421052631,0.13490121552505932
7,0.1905,gemma9b_base,m,within_B_clinical,0.9123161764705883,0.053043220039526905,0.5931578947368421,0.0925418225434727
8,0.2143,gemma9b_base,m,within_B_clinical,0.9333231209150327,0.035823416648303984,0.6452631578947369,0.09222398363709267
9,0.2381,gemma9b_base,m,within_B_clinical,0.9209865196078433,0.03663303627718857,0.6342105263157894,0.11300479238728364
10,0.2619,gemma9b_base,m,within_B_clinical,0.9186580882352942,0.027530774314169885,0.6247368421052631,0.04102563214716858
11,0.2857,gemma9b_base,m,within_B_clinical,0.9202614379084967,0.025691948044454658,0.5942105263157894,0.09953353810528506
12,0.3095,gemma9b_base,m,within_B_clinical,0.9348754084967321,0.024431972350478698,0.6547368421052632,0.1110813133328246
13,0.3333,gemma9b_base,m,within_B_clinical,0.921875,0.028083686122129116,0.6131578947368421,0.10110196164367657
14,0.3571,gemma9b_base,m,within_B_clinical,0.9347324346405228,0.014430671041048905,0.6878947368421052,0.02783011382400479
15,0.381,gemma9b_base,m,within_B_clinical,0.9436989379084967,0.02552168128915311,0.6352631578947369,0.03409291524358242
16,0.4048,gemma9b_base,m,within_B_clinical,0.9594873366013073,0.02272791072898719,0.7073684210526315,0.08110046435477147
17,0.4286,gemma9b_base,m,within_B_clinical,0.9812602124183007,0.010954312300074142,0.7810526315789474,0.04016586111229246
18,0.4524,gemma9b_base,m,within_B_clinical,0.9822712418300654,0.008322425439085452,0.8331578947368421,0.06172946067956106
19,0.4762,gemma9b_base,m,within_B_clinical,0.9847937091503269,0.009921636373630947,0.7805263157894736,0.0854449005203397
20,0.5,gemma9b_base,m,within_B_clinical,0.9886948529411764,0.004142718809775798,0.8652631578947367,0.05087598304671397
21,0.5238,gemma9b_base,m,within_B_clinical,0.9853553921568627,0.016086922095292173,0.8652631578947367,0.060798017171341666
22,0.5476,gemma9b_base,m,within_B_clinical,0.9826899509803921,0.012842456084128909,0.8642105263157894,0.04293911169341293
23,0.5714,gemma9b_base,m,within_B_clinical,0.987438725490196,0.01240903379355308,0.8431578947368422,0.05864584537761736
24,0.5952,gemma9b_base,m,within_B_clinical,0.9795343137254902,0.017298685103778428,0.8331578947368421,0.07013244296890492
25,0.619,gemma9b_base,m,within_B_clinical,0.9804227941176471,0.018782261508945804,0.843157894736842,0.05864584537761736
26,0.6429,gemma9b_base,m,within_B_clinical,0.9821997549019607,0.017736139458793432,0.843157894736842,0.06743417843388198
27,0.6667,gemma9b_base,m,within_B_clinical,0.984375,0.015741706591501394,0.8436842105263157,0.04718091543371573
28,0.6905,gemma9b_base,m,within_B_clinical,0.985140931372549,0.01462716370197055,0.8121052631578947,0.05468621140151807
29,0.7143,gemma9b_base,m,within_B_clinical,0.9744178921568627,0.017131677944008866,0.8021052631578947,0.03904681471787664
30,0.7381,gemma9b_base,m,within_B_clinical,0.9800245098039214,0.018801042676249317,0.8531578947368421,0.08480709738761855
31,0.7619,gemma9b_base,m,within_B_clinical,0.9735600490196077,0.01905568295202682,0.8226315789473684,0.07192640128781688
32,0.7857,gemma9b_base,m,within_B_clinical,0.9722426470588236,0.03308119932454806,0.853157894736842,0.06219440524935767
33,0.8095,gemma9b_base,m,within_B_clinical,0.9813521241830065,0.01739754922755277,0.8221052631578948,0.05514021412087915
34,0.8333,gemma9b_base,m,within_B_clinical,0.9751838235294118,0.0220749872696805,0.8426315789473684,0.07518030036071198
35,0.8571,gemma9b_base,m,within_B_clinical,0.9821078431372549,0.0156829830531137,0.8636842105263158,0.054503551435787854
36,0.881,gemma9b_base,m,within_B_clinical,0.9775428921568627,0.0186551953309637,0.843157894736842,0.05864584537761736
37,0.9048,gemma9b_base,m,within_B_clinical,0.9802389705882353,0.02187315482139323,0.8642105263157894,0.0718878782272163
38,0.9286,gemma9b_base,m,within_B_clinical,0.9760723039215685,0.025409609073176097,0.8326315789473684,0.062487671914340355
39,0.9524,gemma9b_base,m,within_B_clinical,0.9773897058823529,0.024130529012754955,0.8536842105263156,0.04055023217738574
40,0.9762,gemma9b_base,m,within_B_clinical,0.983609068627451,0.016325948931561533,0.843157894736842,0.05864584537761736
41,1.0,gemma9b_base,m,within_B_clinical,0.9795955882352942,0.0185408303499687,0.8536842105263158,0.0621320192142051
